,Bracon_obscurator,Campoplex_faunus,Hsp1,Hsp5,Hsp7,Lestodiplosis_sp,Meteorus_ictericus,Microterys_sp,Miotropis_unipuncta,Pteromalus_sp,Scambus_sp,Sympiesis_sp
Ascotis_fortunata,0,0,0,0,0,0,0,36,0,0,0,0
Calacalles_subcarinatus,0,0,0,0,0,0,0,56,0,0,0,0
Coleophora_sp,0,0,0,0,0,0,0,0,8,0,0,0
Dipsp1,0,0,0,0,0,0,0,0,0,0,1337,0
Ensina_azorica,5,0,0,0,2,0,0,0,0,1,0,0
Herbivore??1,0,0,0,0,0,1,0,0,0,0,0,0
Herbivore??2,0,341,0,0,0,0,0,0,0,0,0,0
Herbivore??3,0,0,0,0,0,0,0,2,0,0,0,0
Herbivore??4,0,0,0,0,0,0,10,0,0,0,0,0
Rhopobota_naevana,0,1453,0,0,3,0,0,0,0,0,0,0
Scaptomyza_impunctata,0,0,0,0,0,0,41,0,0,0,0,0
Scaptomyza_sp,0,0,0,0,0,11,0,0,0,0,0,0
Trisopsis_sp,0,0,5,2,0,6,0,0,0,0,0,329
