,Carduelis_chloris,Columba_palumbus,Cyanistes_caeruleus,Dendrocopos_major,Erithacus_rubecula,Ficedula_hypoleuca,Muscicapa_striata,Sturnus_unicolor,Sylvia_atricapilla,Sylvia_borin,Sylvia_communis,Sylvia_melanocephala,Sylvia_undata,Turdus_merula,Turdus_philomelos
Acacia_dealbata,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Arbutus_unedo,0,0,0,0,4,0,0,0,19,1,0,1,0,4,1
Bryonia_dioica,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
Crataegus_monogyna,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Daphne_gnidium,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0
Ficus_carica,1,0,2,2,3,1,0,1,75,67,0,1,0,13,0
Frangula_alnus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hedera_hibernica/maderensis,0,0,0,0,0,0,0,0,30,0,0,0,0,0,1
Laurus_nobilis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Lonicera_etrusca,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Lonicera_periclymenum,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Myrtus_communis,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Olea_europaea,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
Phillyrea_angustifolia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Phillyrea_latifolia,0,0,0,0,2,1,0,0,10,2,0,3,0,0,0
Phytolacca_americana,0,0,0,0,1,3,0,0,17,3,0,0,0,2,0
Pistacea_lentiscus,0,0,0,0,1,0,0,0,41,0,0,4,1,1,0
Pistacia_lentiscus,0,0,0,0,23,11,2,0,38,17,3,34,2,2,0
Rhamnus_alaternus,0,0,0,0,9,1,0,0,53,8,1,27,0,10,0
Rosa_sempervirens,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Rubia_peregrina,0,0,0,0,2,0,0,0,11,1,1,2,0,0,0
Rubus_ulmifolius,0,0,4,0,48,19,0,0,16,5,8,11,1,3,0
Rumex_crispus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sambucus_nigra,0,0,0,0,0,1,0,0,9,3,1,0,0,0,0
Smilax_aspera,0,0,0,0,5,5,0,0,76,8,0,0,0,2,0
Solanum_nigrum,0,0,0,0,3,1,0,0,16,5,1,2,0,2,0
Tamus_communis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Viburnum_tinus,0,0,0,0,4,1,1,0,8,0,0,0,0,0,0
Vitis_vinifera,0,0,0,0,5,0,0,0,23,7,0,1,0,16,0
