,Aceria_quercina,Andricus_feocundatrix?,Andricus_kollari,Aphididae-U,Aploneura_lentisci,Asphondylia_ulicis,Braueriella_phillyreae,Cistapion_cyanescens,Cochylimorpha_hilarana_cf,Dasineura_cf,Dasineura_rosarum,Diplolepis_rosae,Hexomyza_sarothamni,Indeterminated_Dipsacus,Indeterminated_H.halimifolium1,Indeterminated_H.halimifolium2,Indeterminated_Myrica,Indeterminated_Phillyrea1,Indeterminated_Q_coccifera1,Indeterminated_Q_coccifera2,Indeterminated_Q_coccifera3,Iteomyia_sp,Phyllodiplosis_cocciferae?,Plagiotrochus_quercusilicis_1,Plagiotrochus_quercusilicis_2,Plagiotrochus_quercusilicis_3,Plagiotrochus_quercusilicis_4,Rabdophaga_salicis,Rhopalomyia_baccarum,Stenopterapion_(Cobosiotherium)_scutellare,Wachtliella_ericina
Artemisia_campestris,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.695,0,0
Cistus_monspeliensis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cistus_salvifolius,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cytisus_grandiflorus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cytisus_striatus,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipsacus_comosus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erica_arborea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Erica_cinerea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622
Halimium_calycinum,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halimium_halimifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myrica_gale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phillyrea_angustifolia,0,0,0,0,0,0,198,0,0,8,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
Pistacia_lentiscus,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quercus_coccifera,11744.75,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,1,0,268,3359,1628,19,71,0,0,0,0
Quercus_faginea,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosa_sempervirens,0,0,0,0,0,0,0,0,0,0,6,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salix_atrocinerea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,2,0,0,0
Ulex_airensis,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ulex_australis_subsp_australis_x_U.australis_subsp_Welwitschianus,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Ulex_australis_subsp_Welwitschianus,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
Ulex_europaeus,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0
Ulex_jussiaei_subsp_Jussiaei,0,0,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
