,Amerodectes_atyeoi,Amerodectes_sp1,Analges_sp1,Anisophyllodes_sp,Mesalgoides_geospizae,Metapterodectes_sp,Piciformobia_ani,Proctophyllodes_darwini,Proctophyllodes_sp1,Trouessartia_geospiza,Trouessartia_sp1,Trouessartia_sp2,Tyrannidectes_berlai
Camarhynchus_pallidus,12,0,0,0,1,0,0,1,0,5,0,0,0
Camarhynchus_parvulus,17,0,0,0,1,0,0,12,0,18,0,0,0
Camarhynchus_psittacula,2,0,0,0,0,0,0,0,0,0,0,0,0
Certhidea_fusca,10,0,0,0,1,0,0,0,0,2,0,0,0
Certhidea_olivacea,6,0,0,0,0,0,0,0,0,4,0,0,0
Crotophaga_ani,0,0,0,0,0,0,5,0,0,0,0,0,0
Geospiza_fortis,31,0,0,0,3,0,0,11,0,34,0,0,0
Geospiza_fuliginosa,20,0,0,0,0,0,0,8,0,51,0,0,0
Geospiza_magnirostris,17,0,0,0,4,0,0,2,0,6,0,0,0
Geospiza_scandens,9,0,0,0,0,0,0,5,0,8,0,0,0
Mimus_melanotis,0,0,0,0,0,4,0,0,0,0,0,0,0
Mimus_parvulus,0,0,0,0,0,11,0,0,2,0,0,0,0
Myiarchus_magnirostris,0,0,0,3,0,0,0,0,0,0,0,13,6
Platyspiza_crassirostris,6,0,0,0,2,0,0,0,0,3,0,0,0
Setophaga_petechia,0,10,1,0,0,0,0,0,0,0,72,0,0
