,Ant,Cercopithecus_pygerythrus,Civettictis_civetta,Connochaetes_taurinus,Genetta_tigrina,Hystrix_africaeaustralis,Kobus_ellipsiprymnus,Loxodonta_africana,Oriolus_larvatus,Otolemur_crassicaudatus,Papio_ursinus,Phacochoerus_africanus,Pycnonotus_tricolor,Tockus_nasutus,Tragelaphus_strepsiceros,Tragelaphus_sylvaticus
Acacia_nilotica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Acacia_robusta,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Acacia_sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Allophylus_africanus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boerhavia_diffusa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diospyros_senensis,0,0,13,0,1,0,0,0,0,0,1,0,0,0,0,0
Faidherbia_albida,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Grewia_inequilatera,0,8,1,0,0,0,1,5,0,0,15,0,0,0,0,0
Hyphaene_natalensis,0,0,0,0,0,0,0,47,0,0,30,0,0,0,0,0
Phyllanthus_reticulatus,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Sterculia_africana,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tamarindus_indica,0,3,1,0,0,1,0,1,0,0,28,0,0,0,0,0
Trichilia_capitata,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0
Xanthocercis_zambesiaca,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
Ziziphus_mauritiana,0,5,0,0,0,0,0,1,0,0,6,1,0,0,0,0
Ziziphus_mucronata,0,27,10,1,1,0,0,7,0,1,40,3,0,0,0,0
